"","source","source_division","citation","token_id","sentence_id","verb","lemma_id","lemma","gr","gr_token_id","gr_sentence_id","gr_lemma","gr_tensemood"
"5","Marianus","Mark 10","MARK 10.33",546232,36934,"прѣдадѧтъ",58768,"прѣдати","παραδώσουσιν",733882,55127,"παραδίδωμι","future"
"6","Marianus","Mark 13","MARK 13.9",548317,50514,"прѣдадѧтъ",58768,"прѣдати","παραδώσουσιν",111689,7290,"παραδίδωμι","future"
"7","Marianus","Mark 13","MARK 13.12",548396,37125,"прѣдастъ",58768,"прѣдати","παραδώσει",111759,7294,"παραδίδωμι","future"
"8","Marianus","Mark 14","MARK 14.10",549032,37169,"прѣдастъ",58768,"прѣдати","παραδοῖ",112417,7341,"παραδίδωμι","aorist_subjunctive"
"9","Marianus","Mark 14","MARK 14.11",549054,37171,"прѣдастъ",58768,"прѣдати","παραδοῖ",112435,7343,"παραδίδωμι","aorist_subjunctive"
"10","Marianus","Mark 14","MARK 14.18",549186,37182,"прѣдастъ",58768,"прѣдати","παραδώσει",112574,7354,"παραδίδωμι","future"
"14","Marianus","Matthew 5","MATT 5.25",563982,38377,"прѣдастъ",58768,"прѣдати","παραδῷ",269046,14791,"παραδίδωμι","aorist_subjunctive"
"15","Marianus","Matthew 10","MATT 10.4",567184,50775,"прѣдастъ",58768,"прѣдати","παραδοὺς",272330,15017,"παραδίδωμι","aorist_active_participle"
"16","Marianus","Matthew 10","MATT 10.17",567410,38623,"прѣдадѧтъ",58768,"прѣдати","παραδώσουσιν",272561,15036,"παραδίδωμι","future"
"17","Marianus","Matthew 10","MATT 10.21",567477,38628,"прѣдастъ",58768,"прѣдати","παραδώσει",272630,15041,"παραδίδωμι","future"
"21","Marianus","Matthew 20","MATT 20.19",574649,39215,"прѣдадѧтъ",58768,"прѣдати","παραδώσουσιν",280085,15632,"παραδίδωμι","future"
"22","Marianus","Matthew 21","MATT 21.41",575835,39327,"прѣдастъ",58768,"прѣдати","ἐκδώσεται",281283,15746,"ἐκδίδωμι","future"
"23","Marianus","Matthew 24","MATT 24.9",577544,39466,"прѣдадѧтъ",58768,"прѣдати","παραδώσουσιν",283058,15887,"παραδίδωμι","future"
"24","Marianus","Matthew 24","MATT 24.10",577573,39467,"прѣдастъ",58768,"прѣдати","παραδώσουσιν",283084,15888,"παραδίδωμι","future"
"29","Marianus","Matthew 26","MATT 26.15",579342,51133,"прѣдаме",58768,"прѣдати","παραδώσω",284922,48004,"παραδίδωμι","future"
"30","Marianus","Matthew 26","MATT 26.23",579481,39609,"прѣдастъ",58768,"прѣдати","παραδώσει",285067,16031,"παραδίδωμι","future"
"31","Marianus","Matthew 26","MATT 26.24",579501,39611,"прѣдастъ",58768,"прѣдати","παραδίδοται",285091,16033,"παραδίδωμι","present"
"37","Marianus","Luke 4","LUKE 4.6",585893,40102,"прѣдамь",58768,"прѣдати","δίδωμι",323115,20323,"δίδωμι","present"
"41","Marianus","Luke 12","LUKE 12.58",595166,40805,"прѣдастъ",58768,"прѣдати","παραδώσει",332675,21055,"παραδίδωμι","future"
"42","Marianus","Luke 18","LUKE 18.32",599210,41125,"прѣдадѧтъ",58768,"прѣдати","παραδοθήσεται",336783,21387,"παραδίδωμι","future"
"45","Marianus","Luke 22","LUKE 22.4",601772,41335,"прѣдастꙑ",58768,"прѣдати","παραδῷ",339373,21605,"παραδίδωμι","aorist_subjunctive"
"46","Marianus","Luke 22","LUKE 22.6",601793,41337,"прѣдастъ",58768,"прѣдати","παραδοῦναι",339392,21607,"παραδίδωμι","aorist_active_infinitive"
"54","Marianus","John 13","JOHN 13.2",615736,42550,"прѣдастъ",58768,"прѣдати","παραδοῖ",354289,22881,"παραδίδωμι","aorist_subjunctive"
"55","Marianus","John 13","JOHN 13.21",616101,42582,"прѣдастъ",58768,"прѣдати","παραδώσει",354668,22915,"παραδίδωμι","future"
"63","Marianus","Matthew 26","MATT 26.16",851825,39595,"прѣдастъ",58768,"прѣдати","παραδῷ",284939,16017,"παραδίδωμι","aorist_subjunctive"
"64","Marianus","Matthew 26","MATT 26.21",851833,39605,"прѣдастъ",58768,"прѣдати","παραδώσει",285032,16027,"παραδίδωμι","future"
"1544","Marianus","Mark 9","MARK 9.42",545417,36873,"въвръгѫтъ",58778,"въврѣщи","βέβληται",108782,7035,"βάλλω","perfect"
"1549","Marianus","Matthew 5","MATT 5.25",563995,38377,"въвръжетъ",58778,"въврѣщи","βληθήσῃ",269061,14791,"βάλλω","future"
"1553","Marianus","Matthew 13","MATT 13.42",570182,38834,"въвръгѫтъ",58778,"въврѣщи","βαλοῦσιν",275551,15251,"βάλλω","future"
"1555","Marianus","Matthew 13","MATT 13.50",570333,38845,"въвръгѫтъ",58778,"въврѣщи","βαλοῦσιν",275709,15261,"βάλλω","future"
"1562","Marianus","Luke 5","LUKE 5.5",586753,40163,"въвръжемъ",58778,"въврѣщи","χαλάσω",323988,20385,"χαλάω","future"
"1570","Marianus","John 5","JOHN 5.7",607909,51844,"въвръжетъ",58778,"въврѣщи","βάλῃ",345815,22153,"βάλλω","aorist_subjunctive"
"1592","Marianus","Mark 6","MARK 6.10",542256,50331,"изидете",58784,"изити","ἐξέλθητε",105591,6783,"ἐξέρχομαι","aorist_subjunctive"
"1616","Marianus","Matthew 10","MATT 10.11",567303,38614,"изидете",58784,"изити","ἐξέλθητε",272449,15027,"ἐξέρχομαι","aorist_subjunctive"
"1619","Marianus","Matthew 11","MATT 11.9",568027,50794,"изидете",58784,"изити","ἐξήλθατε",273209,15081,"ἐξέρχομαι","aorist"
"1621","Marianus","Matthew 12","MATT 12.43",569211,38758,"ꙇ҅зидетъ",58784,"изити","ἐξέλθῃ",274496,15177,"ἐξέρχομαι","aorist_subjunctive"
"1624","Marianus","Matthew 13","MATT 13.49",570322,38844,"ꙇзидѫтъ",58784,"изити","ἐξελεύσονται",275696,15261,"ἐξέρχομαι","future"
"1666","Marianus","Luke 11","LUKE 11.24",593407,51461,"изидетъ",58784,"изити","ἐξέλθῃ",330838,20924,"ἐξέρχομαι","aorist_subjunctive"
"1668","Marianus","Luke 11","LUKE 11.26",593439,40680,"изидетъ",58784,"изити","πορεύεται",330872,20927,"πορεύομαι","present"
