X,Voice,Number,Subject,Reflexive,TempLoc,Aspect,SpatAdv,Epoch,RelClause,Aux
1,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,Aux
2,Active,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,early,RelCl,NoAux
3,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,early,NoRelCl,Aux
4,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,early,RelCl,Aux
5,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,Aux
6,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,Aux
7,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,early,RelCl,NoAux
8,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,NoAux
9,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,NoAux
10,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,NoRelCl,NoAux
11,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
12,Passive,Sg,NoSubj,Nonreflexive,TRUE,Impf,SpatAdv,early,NoRelCl,NoAux
13,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,NoAux
14,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,SpatAdv,early,RelCl,NoAux
15,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,early,RelCl,NoAux
16,Passive,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,NoRelCl,Aux
17,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
18,Active,Pl,Subj,Reflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
19,Active,Sg,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,Aux
20,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,early,RelCl,Aux
21,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,SpatAdv,early,RelCl,Aux
22,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,early,RelCl,Aux
23,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,early,RelCl,Aux
24,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
25,Passive,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,Aux
26,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,early,RelCl,Aux
27,Passive,Sg,NoSubj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
28,Passive,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,NoRelCl,Aux
29,Active,Sg,Subj,Nonreflexive,FALSE,Impf,SpatAdv,early,NoRelCl,NoAux
30,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,early,NoRelCl,NoAux
31,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,NoRelCl,NoAux
32,Active,Pl,Subj,Reflexive,FALSE,Pf,NoSpatAdv,early,NoRelCl,NoAux
33,Passive,Sg,NoSubj,Nonreflexive,TRUE,Impf,NoSpatAdv,early,NoRelCl,NoAux
34,Passive,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,NoRelCl,Aux
35,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,Aux
36,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,early,RelCl,Aux
37,Active,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
38,Active,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,early,NoRelCl,NoAux
39,Active,Sg,NoSubj,Nonreflexive,FALSE,Impf,SpatAdv,early,RelCl,Aux
40,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,early,RelCl,Aux
