X,CONSTRUCTION,VERB,REDUCED,PARTICIPLE
1,theme,zero,no,no
2,theme,zero,no,no
3,theme,zero,no,no
4,theme,zero,no,no
5,theme,zero,no,no
6,theme,zero,no,no
7,theme,zero,no,no
8,theme,zero,no,no
9,theme,zero,no,no
10,theme,zero,no,no
11,theme,zero,no,no
12,theme,zero,no,no
13,theme,zero,no,no
14,theme,zero,no,no
15,theme,zero,no,no
16,theme,zero,no,no
17,theme,zero,no,no
18,theme,zero,no,no
19,theme,zero,no,no
20,theme,zero,no,no
21,theme,zero,no,no
22,theme,zero,no,no
23,theme,zero,no,no
24,theme,zero,no,no
25,theme,zero,no,no
26,theme,zero,no,no
27,theme,zero,no,no
28,theme,zero,no,no
29,theme,zero,no,no
30,theme,zero,no,no
31,theme,zero,no,no
32,theme,zero,no,no
33,theme,zero,no,no
34,theme,zero,no,no
35,theme,zero,no,no
36,theme,zero,no,no
37,theme,zero,no,no
38,theme,zero,no,no
39,theme,zero,no,no
40,theme,zero,no,no
41,theme,zero,no,no
42,theme,zero,no,no
43,theme,zero,no,no
44,theme,zero,no,no
45,theme,zero,no,no
46,theme,zero,no,no
47,theme,zero,no,no
48,theme,zero,no,no
49,theme,zero,no,no
50,theme,zero,no,no
51,theme,zero,no,no
52,theme,zero,no,no
53,theme,zero,no,no
54,theme,zero,no,no
55,theme,zero,no,no
56,theme,zero,no,no
57,theme,zero,no,no
58,theme,zero,no,no
59,theme,zero,no,no
60,theme,zero,no,no
61,theme,zero,no,no
62,theme,zero,no,no
63,theme,zero,no,no
64,theme,zero,no,no
65,theme,zero,no,no
66,theme,zero,no,no
67,theme,zero,no,no
68,theme,zero,no,no
69,theme,zero,no,no
70,theme,zero,no,no
71,theme,zero,no,no
72,theme,zero,no,no
73,theme,zero,no,no
74,theme,zero,no,no
75,theme,zero,no,no
76,theme,zero,no,no
77,theme,zero,no,no
78,theme,zero,no,no
79,theme,zero,no,no
80,theme,zero,no,no
81,theme,zero,no,no
82,theme,zero,no,no
83,theme,zero,no,no
84,theme,zero,no,no
85,theme,zero,no,no
86,theme,zero,no,no
87,theme,zero,no,no
88,theme,zero,no,no
89,theme,zero,no,no
90,theme,zero,no,no
91,theme,zero,no,no
92,theme,zero,no,no
93,theme,zero,no,no
94,theme,zero,no,no
95,theme,zero,no,no
96,theme,zero,no,no
97,theme,zero,no,no
98,theme,zero,no,no
99,theme,zero,no,no
100,theme,zero,no,no
101,theme,zero,no,no
102,theme,zero,no,no
103,theme,zero,no,no
104,theme,zero,no,no
105,theme,zero,no,no
106,theme,zero,no,no
107,theme,zero,no,no
108,theme,zero,no,no
109,theme,zero,no,no
110,theme,zero,no,no
111,theme,zero,no,no
112,theme,zero,no,no
113,theme,zero,no,no
114,theme,zero,no,no
115,theme,zero,no,no
116,theme,zero,no,no
117,theme,zero,no,no
118,theme,zero,no,no
119,theme,zero,no,no
120,theme,zero,no,no
121,theme,zero,no,no
122,theme,zero,no,no
123,theme,zero,no,no
124,theme,zero,no,no
125,theme,zero,no,no
126,theme,zero,no,no
127,theme,zero,no,no
128,theme,zero,no,no
129,theme,zero,no,no
130,theme,zero,no,no
131,theme,zero,no,no
132,theme,zero,no,no
133,theme,zero,no,no
134,theme,zero,no,no
135,theme,zero,no,no
136,theme,zero,no,no
137,theme,zero,no,no
138,theme,na,no,no
139,theme,na,no,no
140,theme,na,no,no
141,theme,na,no,no
142,theme,na,no,no
143,theme,na,no,no
144,theme,na,no,no
145,theme,na,no,no
146,theme,na,no,no
147,theme,na,no,no
148,theme,na,no,no
149,theme,na,no,no
150,theme,na,no,no
151,theme,na,no,no
152,theme,na,no,no
153,theme,na,no,no
154,theme,na,no,no
155,theme,na,no,no
156,theme,na,no,no
157,theme,na,no,no
158,theme,na,no,no
159,theme,na,no,no
160,theme,na,no,no
161,theme,na,no,no
162,theme,na,no,no
163,theme,na,no,no
164,theme,na,no,no
165,theme,za,no,no
166,theme,za,no,no
167,theme,za,no,no
168,theme,za,no,no
169,theme,za,no,no
