"","Subject","Stem","StimulusType","FirstResponse","SecondResponse","ThirdResponse","Onset","ClusterOnset","PossibleWithB","Place","Manner","StressStimulus","Gender","Age","AgeGroup","EducationLevel","EducationField","SubjectGroup"
"1","A1","bukl","verb","O",NA,NA,"b","no",TRUE,"labial","stop","root","male",59,"oldest","Higher","Science","A"
"2","A1","zup","verb","OB",NA,NA,"z","no",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"3","A1","tul","verb","OB",NA,NA,"t","no",TRUE,"dental","stop","root","male",59,"oldest","Higher","Science","A"
"4","A1","sur","verb","O",NA,NA,"s","no",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"5","A1","razhn","verb","OB",NA,NA,"r","no",TRUE,"dental","sonorant","root","male",59,"oldest","Higher","Science","A"
"6","A1","guzv","verb","O",NA,NA,"g","no",TRUE,"velar","stop","root","male",59,"oldest","Higher","Science","A"
"7","A1","patl","verb","O",NA,NA,"p","no",TRUE,"labial","stop","root","male",59,"oldest","Higher","Science","A"
"8","A1","nokr","verb","OB",NA,NA,"n","no",TRUE,"dental","sonorant","root","male",59,"oldest","Higher","Science","A"
"9","A1","moml","verb","OB",NA,NA,"m","no",TRUE,"labial","sonorant","root","male",59,"oldest","Higher","Science","A"
"10","A1","xop","verb","OB",NA,NA,"x","no",TRUE,"velar","fricative","root","male",59,"oldest","Higher","Science","A"
"12","A1","kamp","verb","O",NA,NA,"k","no",TRUE,"velar","stop","root","male",59,"oldest","Higher","Science","A"
"13","A1","jal","verb","OB",NA,NA,"j","no",TRUE,"alveopalatal","sonorant","root","male",59,"oldest","Higher","Science","A"
"14","A1","rogl","verb","O",NA,NA,"r","no",TRUE,"dental","sonorant","root","male",59,"oldest","Higher","Science","A"
"15","A1","pur","verb","O",NA,NA,"p","no",TRUE,"labial","stop","root","male",59,"oldest","Higher","Science","A"
"16","A1","zhuskl","verb","OB",NA,NA,"zh","no",TRUE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"17","A1","dukt","verb","O",NA,NA,"d","no",TRUE,"dental","stop","root","male",59,"oldest","Higher","Science","A"
"18","A1","murl","verb","OB",NA,NA,"m","no",TRUE,"labial","sonorant","root","male",59,"oldest","Higher","Science","A"
"19","A1","tkab","verb","O",NA,NA,"tk","yes",FALSE,"dental","stop","root","male",59,"oldest","Higher","Science","A"
"20","A1","vurl","verb","OB",NA,NA,"v","no",TRUE,"labial","fricative","root","male",59,"oldest","Higher","Science","A"
"21","A1","bost","verb","O",NA,NA,"b","no",TRUE,"labial","stop","root","male",59,"oldest","Higher","Science","A"
"22","A1","chtus","verb","OB",NA,NA,"chr","yes",FALSE,"alveopalatal","affricate","root","male",59,"oldest","Higher","Science","A"
"23","A1","zhrap","verb","O",NA,NA,"zhr","yes",FALSE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"24","A1","tov","verb","O",NA,NA,"t","no",TRUE,"dental","stop","root","male",59,"oldest","Higher","Science","A"
"25","A1","sagl","verb","O",NA,NA,"s","no",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"26","A1","shadr","verb","OB",NA,NA,"sh","no",TRUE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"27","A1","chup","verb","OB",NA,NA,"ch","no",TRUE,"alveopalatal","affricate","root","male",59,"oldest","Higher","Science","A"
"28","A1","xushn","verb","O",NA,NA,"x","no",TRUE,"velar","fricative","root","male",59,"oldest","Higher","Science","A"
"29","A1","nad","verb","OB",NA,NA,"n","no",TRUE,"dental","sonorant","root","male",59,"oldest","Higher","Science","A"
"30","A1","znup","verb","O",NA,NA,"zn","yes",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"31","A1","gnor","verb","O",NA,NA,"gn","yes",TRUE,"velar","stop","root","male",59,"oldest","Higher","Science","A"
"32","A1","jup","verb","OB",NA,NA,"j","no",TRUE,"alveopalatal","sonorant","root","male",59,"oldest","Higher","Science","A"
"33","A1","spul","verb","O",NA,NA,"sp","yes",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"34","A1","chav","verb","O",NA,NA,"ch","no",TRUE,"alveopalatal","affricate","root","male",59,"oldest","Higher","Science","A"
"35","A1","cav","verb","O",NA,NA,"c","no",TRUE,"dental","affricate","root","male",59,"oldest","Higher","Science","A"
"36","A1","skol","verb","OB",NA,NA,"sk","yes",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"37","A1","shchul","verb","OB",NA,NA,"shch","no",TRUE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"38","A1","zhaxl","verb","O",NA,NA,"zh","no",TRUE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"39","A1","kochl","verb","OB",NA,NA,"k","no",TRUE,"velar","stop","root","male",59,"oldest","Higher","Science","A"
"40","A1","gab","verb","O",NA,NA,"g","no",TRUE,"velar","stop","root","male",59,"oldest","Higher","Science","A"
"41","A1","zhgav","verb","OB",NA,NA,"zhg","yes",FALSE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"42","A1","vazhd","verb","OB",NA,NA,"v","no",TRUE,"labial","fricative","root","male",59,"oldest","Higher","Science","A"
"43","A1","daml","verb","O",NA,NA,"d","no",TRUE,"dental","stop","root","male",59,"oldest","Higher","Science","A"
"44","A1","shakl","verb","OB",NA,NA,"sh","no",TRUE,"alveopalatal","fricative","root","male",59,"oldest","Higher","Science","A"
"45","A1","lus","verb","OB",NA,NA,"l","no",TRUE,"dental","sonorant","root","male",59,"oldest","Higher","Science","A"
"46","A1","zopr","verb","O",NA,NA,"z","no",TRUE,"dental","fricative","root","male",59,"oldest","Higher","Science","A"
"47","A10","chtus","verb","OB",NA,NA,"chr","yes",FALSE,"alveopalatal","affricate","root","female",24,"young","Higher","Humanities","A"
"48","A10","daml","verb","O",NA,NA,"d","no",TRUE,"dental","stop","root","female",24,"young","Higher","Humanities","A"
"49","A10","razhn","verb","OB",NA,NA,"r","no",TRUE,"dental","sonorant","root","female",24,"young","Higher","Humanities","A"
"50","A10","shchul","verb","O","OB",NA,"shch","no",TRUE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"51","A10","guzv","verb","O",NA,NA,"g","no",TRUE,"velar","stop","root","female",24,"young","Higher","Humanities","A"
"52","A10","vazhd","verb","O","OB",NA,"v","no",TRUE,"labial","fricative","root","female",24,"young","Higher","Humanities","A"
"53","A10","bost","verb","O",NA,NA,"b","no",TRUE,"labial","stop","root","female",24,"young","Higher","Humanities","A"
"54","A10","tul","verb","OB",NA,NA,"t","no",TRUE,"dental","stop","root","female",24,"young","Higher","Humanities","A"
"55","A10","bukl","verb","OB",NA,NA,"b","no",TRUE,"labial","stop","root","female",24,"young","Higher","Humanities","A"
"56","A10","cav","verb","OB",NA,NA,"c","no",TRUE,"dental","affricate","root","female",24,"young","Higher","Humanities","A"
"57","A10","xushn","verb","OB",NA,NA,"x","no",TRUE,"velar","fricative","root","female",24,"young","Higher","Humanities","A"
"58","A10","spul","verb","OB",NA,NA,"sp","yes",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"59","A10","vurl","verb","OB",NA,NA,"v","no",TRUE,"labial","fricative","root","female",24,"young","Higher","Humanities","A"
"60","A10","moml","verb","OB",NA,NA,"m","no",TRUE,"labial","sonorant","root","female",24,"young","Higher","Humanities","A"
"61","A10","shadr","verb","O",NA,NA,"sh","no",TRUE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"62","A10","zhuskl","verb","OB",NA,NA,"zh","no",TRUE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"63","A10","zhgav","verb","OB",NA,NA,"zhg","yes",FALSE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"64","A10","gnor","verb","OB",NA,NA,"gn","yes",TRUE,"velar","stop","root","female",24,"young","Higher","Humanities","A"
"65","A10","znup","verb","O",NA,NA,"zn","yes",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"66","A10","gab","verb","OB",NA,NA,"g","no",TRUE,"velar","stop","root","female",24,"young","Higher","Humanities","A"
"67","A10","nad","verb","OB",NA,NA,"n","no",TRUE,"dental","sonorant","root","female",24,"young","Higher","Humanities","A"
"68","A10","zhaxl","verb","OB",NA,NA,"zh","no",TRUE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"69","A10","shakl","verb","O","OB",NA,"sh","no",TRUE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"70","A10","zhrap","verb","OB",NA,NA,"zhr","yes",FALSE,"alveopalatal","fricative","root","female",24,"young","Higher","Humanities","A"
"71","A10","sagl","verb","OB",NA,NA,"s","no",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"72","A10","patl","verb","O",NA,NA,"p","no",TRUE,"labial","stop","root","female",24,"young","Higher","Humanities","A"
"73","A10","tkab","verb","OB",NA,NA,"tk","yes",FALSE,"dental","stop","root","female",24,"young","Higher","Humanities","A"
"74","A10","dukt","verb","OB",NA,NA,"d","no",TRUE,"dental","stop","root","female",24,"young","Higher","Humanities","A"
"76","A10","chup","verb","OB",NA,NA,"ch","no",TRUE,"alveopalatal","affricate","root","female",24,"young","Higher","Humanities","A"
"77","A10","jal","verb","OB",NA,NA,"j","no",TRUE,"alveopalatal","sonorant","root","female",24,"young","Higher","Humanities","A"
"78","A10","skol","verb","OB",NA,NA,"sk","yes",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"79","A10","chav","verb","OB",NA,NA,"ch","no",TRUE,"alveopalatal","affricate","root","female",24,"young","Higher","Humanities","A"
"80","A10","rogl","verb","OB",NA,NA,"r","no",TRUE,"dental","sonorant","root","female",24,"young","Higher","Humanities","A"
"81","A10","sur","verb","OB",NA,NA,"s","no",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"82","A10","zopr","verb","OB",NA,NA,"z","no",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"83","A10","xop","verb","OB",NA,NA,"x","no",TRUE,"velar","fricative","root","female",24,"young","Higher","Humanities","A"
"84","A10","jup","verb","OB",NA,NA,"j","no",TRUE,"alveopalatal","sonorant","root","female",24,"young","Higher","Humanities","A"
"85","A10","kochl","verb","OB",NA,NA,"k","no",TRUE,"velar","stop","root","female",24,"young","Higher","Humanities","A"
"86","A10","pur","verb","O",NA,NA,"p","no",TRUE,"labial","stop","root","female",24,"young","Higher","Humanities","A"
"87","A10","lopr","verb","OB",NA,NA,"l","no",TRUE,"dental","sonorant","root","female",24,"young","Higher","Humanities","A"
"88","A10","nokr","verb","OB",NA,NA,"n","no",TRUE,"dental","sonorant","root","female",24,"young","Higher","Humanities","A"
"89","A10","zup","verb","OB",NA,NA,"z","no",TRUE,"dental","fricative","root","female",24,"young","Higher","Humanities","A"
"90","A10","murl","verb","OB",NA,NA,"m","no",TRUE,"labial","sonorant","root","female",24,"young","Higher","Humanities","A"
"91","A10","lus","verb","OB",NA,NA,"l","no",TRUE,"dental","sonorant","root","female",24,"young","Higher","Humanities","A"
"92","A10","tov","verb","OB",NA,NA,"t","no",TRUE,"dental","stop","root","female",24,"young","Higher","Humanities","A"
"93","A11","zhrap","verb","O",NA,NA,"zhr","yes",FALSE,"alveopalatal","fricative","root","female",21,"young","Higher","Humanities","A"
"94","A11","chav","verb","O",NA,NA,"ch","no",TRUE,"alveopalatal","affricate","root","female",21,"young","Higher","Humanities","A"
"95","A11","daml","verb","O",NA,NA,"d","no",TRUE,"dental","stop","root","female",21,"young","Higher","Humanities","A"
"96","A11","skol","verb","O",NA,NA,"sk","yes",TRUE,"dental","fricative","root","female",21,"young","Higher","Humanities","A"
"97","A11","spul","verb","O",NA,NA,"sp","yes",TRUE,"dental","fricative","root","female",21,"young","Higher","Humanities","A"
"98","A11","bost","verb","O",NA,NA,"b","no",TRUE,"labial","stop","root","female",21,"young","Higher","Humanities","A"
"99","A11","shchul","verb","OB",NA,NA,"shch","no",TRUE,"alveopalatal","fricative","root","female",21,"young","Higher","Humanities","A"
"100","A11","bukl","verb","O",NA,NA,"b","no",TRUE,"labial","stop","root","female",21,"young","Higher","Humanities","A"
"101","A11","zopr","verb","O",NA,NA,"z","no",TRUE,"dental","fricative","root","female",21,"young","Higher","Humanities","A"
"102","A11","chup","verb","O",NA,NA,"ch","no",TRUE,"alveopalatal","affricate","root","female",21,"young","Higher","Humanities","A"
"103","A11","zhuskl","verb","O","OB",NA,"zh","no",TRUE,"alveopalatal","fricative","root","female",21,"young","Higher","Humanities","A"
"104","A11","xushn","verb","OB",NA,NA,"x","no",TRUE,"velar","fricative","root","female",21,"young","Higher","Humanities","A"
"105","A11","guzv","verb","O",NA,NA,"g","no",TRUE,"velar","stop","root","female",21,"young","Higher","Humanities","A"
"106","A11","vazhd","verb","O",NA,NA,"v","no",TRUE,"labial","fricative","root","female",21,"young","Higher","Humanities","A"
"107","A11","gab","verb","O",NA,NA,"g","no",TRUE,"velar","stop","root","female",21,"young","Higher","Humanities","A"
"108","A11","sur","verb","O",NA,NA,"s","no",TRUE,"dental","fricative","root","female",21,"young","Higher","Humanities","A"
"109","A11","znup","verb","OB",NA,NA,"zn","yes",TRUE,"dental","fricative","root","female",21,"young","Higher","Humanities","A"
"110","A11","razhn","verb","O",NA,NA,"r","no",TRUE,"dental","sonorant","root","female",21,"young","Higher","Humanities","A"
"111","A11","chtus","verb","O",NA,NA,"chr","yes",FALSE,"alveopalatal","affricate","root","female",21,"young","Higher","Humanities","A"
