X,Base,PrefixedVerb,ShiftTrans,Prefix,PrefixStacking,ShiftAspect,BaseFreqWrong,FreqPrefVerb,PerfectiveType,SemanticGroup,SemanticGroupFullName,OtherPrefPossible,FreqBase,SemanticGroupVery,SemanticGroupProto,Frequency,Outcomes,Cues
1,______,_________,tr-intr,pre,stacked,pf-pf,42081,657,specialized,very,thorough,no,42081,TRUE,FALSE,657,pre,stacked_pf-pf_very_tr-intr_specialized
2,________,___________,intr-intr,pre,stacked,imp-imp,5560,722,not-applicable,very,thorough,no,5560,TRUE,FALSE,722,pre,stacked_imp-imp_very_intr-intr_not-applicable
3,__________,_____________,intr-intr,pre,stacked,pf-pf,442,5,specialized,very,thorough,no,442,TRUE,FALSE,5,pre,stacked_pf-pf_very_intr-intr_specialized
4,________,___________,tr-tr,pre,stacked,pf-pf,1059,36,specialized,very,thorough,no,1059,TRUE,FALSE,36,pre,stacked_pf-pf_very_tr-tr_specialized
5,__________,_____________,intr-intr,pre,stacked,imp-imp,536,5,not-applicable,very,thorough,no,536,TRUE,FALSE,5,pre,stacked_imp-imp_very_intr-intr_not-applicable
6,________,___________,tr-tr,pre,stacked,imp-imp,896,23,not-applicable,very,thorough,no,896,TRUE,FALSE,23,pre,stacked_imp-imp_very_tr-tr_not-applicable
7,_________,____________,tr-tr,pre,stacked,pf-pf,3137,62,specialized,overdo,overdo,no,3137,FALSE,FALSE,62,pre,stacked_pf-pf_overdo_tr-tr_specialized
8,___________,______________,intr-intr,pre,stacked,imp-imp,3164,11,not-applicable,overdo,overdo,no,3164,FALSE,FALSE,11,pre,stacked_imp-imp_overdo_intr-intr_not-applicable
9,_________,____________,tr-tr,pre,stacked,imp-imp,1773,138,not-applicable,overdo,overdo,no,1773,FALSE,FALSE,138,pre,stacked_imp-imp_overdo_tr-tr_not-applicable
10,________,___________,tr-tr,pre,stacked,pf-pf,5767,12,specialized,transf-met,transfer metaphorical,no,5767,TRUE,FALSE,12,pre,stacked_pf-pf_transf-met_tr-tr_specialized
11,_________,____________,tr-tr,pre,stacked,pf-pf,6909,1768,specialized,overdo,overdo,no,6909,FALSE,FALSE,1768,pre,stacked_pf-pf_overdo_tr-tr_specialized
12,_____________,________________,intr-intr,pre,stacked,imp-imp,5137,48,not-applicable,overdo,overdo,no,5137,FALSE,FALSE,48,pre,stacked_imp-imp_overdo_intr-intr_not-applicable
13,___________,______________,tr-tr,pre,stacked,imp-imp,3866,1445,not-applicable,overdo,overdo,no,3866,FALSE,FALSE,1445,pre,stacked_imp-imp_overdo_tr-tr_not-applicable
14,________,___________,intr-intr,pre,notStacked,pf-pf,793,28,specialized,div,divide,no,793,FALSE,FALSE,28,pre,notStacked_pf-pf_div_intr-intr_specialized
15,_______,__________,tr-tr,pre,notStacked,imp-pf,12429,1542,specialized,ovc-dur,overcome-duration,yes,12429,FALSE,FALSE,1542,pre,notStacked_imp-pf_ovc-dur_tr-tr_specialized
16,no,__________,no-tr,pre,notStacked,imp-imp,0,308,not-applicable,transf-met,transfer metaphorical,no,0,TRUE,FALSE,308,pre,notStacked_imp-imp_transf-met_no-tr_not-applicable
17,_________,____________,intr-intr,pre,notStacked,imp-pf,3318,111,specialized,transf-met,transfer metaphorical,no,3318,TRUE,FALSE,111,pre,notStacked_imp-pf_transf-met_intr-intr_specialized
18,_______,__________,tr-tr,pre,notStacked,imp-pf,6686,367,specialized,transf-met,transfer metaphorical,yes,6686,TRUE,FALSE,367,pre,notStacked_imp-pf_transf-met_tr-tr_specialized
19,_____,_________,no-tr,pre,notStacked,no-pf,4346,278,specialized,overdo,overdo,no,4346,FALSE,FALSE,278,pre,notStacked_no-pf_overdo_no-tr_specialized
20,_______,__________,intr-tr,pre,notStacked,pf-pf,2259,391,specialized,div,divide,yes,2259,FALSE,FALSE,391,pre,notStacked_pf-pf_div_intr-tr_specialized
21,_______,__________,intr-tr,pre,notStacked,imp-imp,7603,189,not-applicable,div,divide,yes,7603,FALSE,FALSE,189,pre,notStacked_imp-imp_div_intr-tr_not-applicable
22,_____,________,intr-intr,pre,notStacked,pf-pf,330197,212,specialized,ovc-dur,overcome-duration,yes,330197,FALSE,FALSE,212,pre,notStacked_pf-pf_ovc-dur_intr-intr_specialized
23,_____,__________,intr-intr,pre,notStacked,pf-pf,330197,212,specialized,ovc-dur,overcome-duration,yes,330197,FALSE,FALSE,212,pre,notStacked_pf-pf_ovc-dur_intr-intr_specialized
24,_______,__________,intr-intr,pre,notStacked,imp-pf,1733,1,specialized,transf-met,transfer metaphorical,no,1733,TRUE,FALSE,1,pre,notStacked_imp-pf_transf-met_intr-intr_specialized
25,no,_____________,no-intr,pre,notStacked,no-imp,0,8,not-applicable,transf-met,transfer metaphorical,yes,0,TRUE,FALSE,8,pre,notStacked_no-imp_transf-met_no-intr_not-applicable
26,_________,____________,intr-intr,pre,notStacked,imp-pf,3638,407,specialized,transf-met,transfer metaphorical,yes,3638,TRUE,FALSE,407,pre,notStacked_imp-pf_transf-met_intr-intr_specialized
27,_________,____________,intr-intr,pre,notStacked,imp-imp,698,573,not-applicable,very,thorough,no,698,TRUE,FALSE,573,pre,notStacked_imp-imp_very_intr-intr_not-applicable
28,_______,__________,tr-tr,pre,notStacked,imp-pf,54299,14,specialized,bridge,bridge,yes,54299,FALSE,FALSE,14,pre,notStacked_imp-pf_bridge_tr-tr_specialized
29,_________,____________,intr-tr,pre,notStacked,imp-imp,119353,7049,specialized,super,superiority,no,119353,FALSE,FALSE,7049,pre,notStacked_imp-imp_super_intr-tr_specialized
30,______,_________,intr-intr,pre,notStacked,imp-pf,60,287,specialized,div,divide,yes,60,FALSE,FALSE,287,pre,notStacked_imp-pf_div_intr-intr_specialized
31,____,_______,tr-tr,pre,notStacked,imp-pf,2736,986,specialized,div,divide,yes,2736,FALSE,FALSE,986,pre,notStacked_imp-pf_div_tr-tr_specialized
32,________,___________,intr-intr,pre,notStacked,imp-pf,582,47,specialized,transf,transfer,yes,582,FALSE,TRUE,47,pre,notStacked_imp-pf_transf_intr-intr_specialized
33,no,___________,no-intr,pre,notStacked,no-imp,0,88,not-applicable,intrch,interchange,no,0,FALSE,FALSE,88,pre,notStacked_no-imp_intrch_no-intr_not-applicable
34,_______,__________,intr-intr,pre,notStacked,imp-imp,5372,883,not-applicable,div,divide,yes,5372,FALSE,FALSE,883,pre,notStacked_imp-imp_div_intr-intr_not-applicable
35,_____,________,tr-tr,pre,notStacked,imp-pf,5302,7279,specialized,div,divide,yes,5302,FALSE,FALSE,7279,pre,notStacked_imp-pf_div_tr-tr_specialized
36,_________,_____________,tr-tr,pre,stacked,imp-imp,7261,2,not-applicable,transf,transfer,no,7261,FALSE,TRUE,2,pre,stacked_imp-imp_transf_tr-tr_not-applicable
37,_________,____________,tr-tr,pre,stacked,pf-pf,29187,900,specialized,transf,transfer,no,29187,FALSE,TRUE,900,pre,stacked_pf-pf_transf_tr-tr_specialized
38,________,___________,tr-tr,pre,notStacked,imp-imp,9189,1,not-applicable,super,superiority,no,9189,FALSE,FALSE,1,pre,notStacked_imp-imp_super_tr-tr_not-applicable
39,________,___________,tr-tr,pre,stacked,pf-pf,8456,227,specialized,transf,transfer,yes,8456,FALSE,TRUE,227,pre,stacked_pf-pf_transf_tr-tr_specialized
40,__________,_____________,intr-intr,pre,stacked,imp-imp,490,9,not-applicable,transf,transfer,yes,490,FALSE,TRUE,9,pre,stacked_imp-imp_transf_intr-intr_not-applicable
41,________,___________,tr-tr,pre,stacked,imp-imp,1401,94,not-applicable,transf,transfer,yes,1401,FALSE,TRUE,94,pre,stacked_imp-imp_transf_tr-tr_not-applicable
42,__________,_____________,tr-intr,pre,stacked,pf-pf,27563,6,specialized,transf,transfer,no,27563,FALSE,TRUE,6,pre,stacked_pf-pf_transf_tr-intr_specialized
43,___________,______________,intr-intr,pre,stacked,imp-imp,69,214,not-applicable,transf-met,transfer metaphorical,no,69,TRUE,FALSE,214,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
44,_________,____________,tr-tr,pre,stacked,imp-imp,2096,532,not-applicable,transf-met,transfer metaphorical,no,2096,TRUE,FALSE,532,pre,stacked_imp-imp_transf-met_tr-tr_not-applicable
45,________,___________,tr-tr,pre,stacked,pf-pf,6040,1215,specialized,transf,transfer,no,6040,FALSE,TRUE,1215,pre,stacked_pf-pf_transf_tr-tr_specialized
46,______,_________,tr-tr,pre,stacked,pf-pf,25387,532,specialized,transf-met,transfer metaphorical,no,25387,TRUE,FALSE,532,pre,stacked_pf-pf_transf-met_tr-tr_specialized
47,__________,_____________,intr-intr,pre,stacked,imp-imp,2456,391,not-applicable,transf-met,transfer metaphorical,no,2456,TRUE,FALSE,391,pre,stacked_imp-imp_transf-met_intr-intr_not-applicable
